2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0634
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0649
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0702
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0731
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0780
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0778
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0798
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0753
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0800
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0887
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0887
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0870
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0903
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0802
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.1119
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.1064
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.1027
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.1047
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.1186
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.1311
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.1264
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.1249
2026-02-16 07:06:19 | backtest.engine           | INFO    | Backtest complete: 2159 days, 100 rebalances, avg turnover: 24.7%
2026-02-16 07:06:19 | pipeline                  | INFO    |   Backtest: 2159 days of returns
2026-02-16 07:06:19 | pipeline                  | INFO    | STEP 8: Evaluating performance...
2026-02-16 07:06:20 | evaluation.attribution    | INFO    | Factor Attribution: Alpha=5.90% (t=2.71), R²=0.871
2026-02-16 07:06:20 | evaluation.attribution    | INFO    |   Mkt-RF: beta=0.891 (t=118.91)
2026-02-16 07:06:20 | evaluation.attribution    | INFO    |   SMB: beta=-0.232 (t=-16.48)
2026-02-16 07:06:20 | evaluation.attribution    | INFO    |   HML: beta=0.061 (t=4.91)
2026-02-16 07:06:20 | evaluation.attribution    | INFO    |   RMW: beta=0.058 (t=3.24)
2026-02-16 07:06:20 | evaluation.attribution    | INFO    |   CMA: beta=0.206 (t=9.88)
2026-02-16 07:06:21 | evaluation.robustness     | INFO    | Bootstrap Sharpe: 0.830 [0.205, 1.504]
2026-02-16 07:06:21 | pipeline                  | INFO    | STEP 9: Generating visualizations...
2026-02-16 07:06:21 | pipeline                  | INFO    | ============================================================
2026-02-16 07:06:21 | pipeline                  | INFO    | PIPELINE COMPLETE
2026-02-16 07:06:21 | pipeline                  | INFO    |   Elapsed: 108.1 seconds
2026-02-16 07:06:21 | pipeline                  | INFO    |   CAGR: 18.09%
2026-02-16 07:06:21 | pipeline                  | INFO    |   Sharpe: 0.802
2026-02-16 07:06:21 | pipeline                  | INFO    |   Max DD: -33.10%
2026-02-16 07:06:21 | pipeline                  | INFO    |   Alpha (CAPM): 0.05502173498708564
2026-02-16 07:06:21 | pipeline                  | INFO    | ============================================================
2026-02-16 07:06:31 | pipeline                  | INFO    | ============================================================
2026-02-16 07:06:31 | pipeline                  | INFO    | QUANT RESEARCH PIPELINE — START
2026-02-16 07:06:31 | pipeline                  | INFO    | ============================================================
2026-02-16 07:06:31 | pipeline                  | INFO    | STEP 1: Loading data...
2026-02-16 07:06:31 | data.loaders.price_loader | INFO    | Downloading price data for 50 tickers from 2016-01-01 to 2025-12-31
2026-02-16 07:06:42 | data.loaders.price_loader | WARNING | DHR: 1 days with >50% move (possible bad adjustment)
2026-02-16 07:06:42 | data.loaders.price_loader | WARNING | AMD: 1 days with >50% move (possible bad adjustment)
2026-02-16 07:06:42 | data.loaders.price_loader | INFO    | Price data loaded: (2513, 250)
2026-02-16 07:06:42 | pipeline                  | INFO    |   Prices: (2513, 50)
2026-02-16 07:06:42 | pipeline                  | INFO    |   Valid tickers: 50
2026-02-16 07:07:19 | pipeline                  | INFO    |   Fundamentals: (50, 21)
2026-02-16 07:07:22 | data.loaders.macro_loader | INFO    | pandas-datareader not available; using market proxies
2026-02-16 07:07:22 | data.loaders.macro_loader | INFO    | Macro data loaded: 12 features, 2609 observations
2026-02-16 07:07:22 | pipeline                  | INFO    |   Macro: (2609, 12)
2026-02-16 07:07:22 | pipeline                  | INFO    | STEP 2: Computing features...
2026-02-16 07:08:08 | pipeline                  | INFO    |   Technical features: 50 tickers
2026-02-16 07:08:08 | pipeline                  | INFO    |   Macro features: 16 columns
2026-02-16 07:08:08 | pipeline                  | INFO    | STEP 3: Building cross-sectional feature matrix...
2026-02-16 07:08:08 | pipeline                  | INFO    |   Feature matrix: (50, 39)
2026-02-16 07:08:08 | pipeline                  | INFO    | STEP 4: Training models...
2026-02-16 07:08:08 | models.xgboost_model      | INFO    | Using LightGBM model
2026-02-16 07:08:08 | models.xgboost_model      | INFO    | Model trained. Top features: {'drawdown': 73, 'ma_200_dist': 72, 'ret_21d': 55, 'atr_pct': 47, 'operating_margin': 38}
2026-02-16 07:08:08 | pipeline                  | INFO    |   XGBoost trained. Top features: ['drawdown', 'ma_200_dist', 'ret_21d', 'atr_pct', 'operating_margin']
2026-02-16 07:08:08 | models.linear_model       | INFO    | ElasticNet model initialized
2026-02-16 07:08:08 | models.linear_model       | INFO    | ElasticNet: 2/39 non-zero coefficients
2026-02-16 07:08:08 | pipeline                  | INFO    |   ElasticNet trained. Non-zero coeffs: 2
2026-02-16 07:08:08 | models.hmm_model          | INFO    | HMM initialized with 4 states
2026-02-16 07:08:08 | models.hmm_model          | WARNING | Insufficient macro features for HMM; using rule-based fallback
2026-02-16 07:08:08 | pipeline                  | INFO    |   HMM regime detection complete. Current regime: 0
2026-02-16 07:08:08 | pipeline                  | INFO    | STEP 5: Combining signals...
2026-02-16 07:08:08 | pipeline                  | INFO    |   Composite signal range: [-0.907, 0.973]
2026-02-16 07:08:08 | pipeline                  | INFO    | STEP 6: Constructing portfolio...
2026-02-16 07:08:08 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0124
2026-02-16 07:08:08 | portfolio.constraints     | INFO    | Vol targeting: 18.8% -> 12.0% (scale: 0.64)
2026-02-16 07:08:08 | pipeline                  | INFO    |   Portfolio: 40 holdings
2026-02-16 07:08:08 | pipeline                  | INFO    |   Top 5: {'LIN': 0.06896031649344572, 'RTX': 0.06896031649344572, 'ACN': 0.06896031649344572, 'CRM': 0.06896031649344572, 'V': 0.06896031649344572}
2026-02-16 07:08:08 | pipeline                  | INFO    | STEP 7: Running backtest...
